sent_type,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,bilingual_corpus_frequency_first_cs_word,bilingual_corpus_frequency_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation
code-switch,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,5.69E-21,6.100998,NN,2,compound:nn,1.2138942333954442E-5,3.0347355834886106E-5,4,2,1,0,0
code-switch,CMU,4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,8.76E-19,6.527233,NN,9,nmod:topic,6.433639436995855E-4,4.248629816884055E-5,5,2,8,0,0
code-switch,CMU,5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,1,house,房子,5.70E-17,5.512905,NN,3,nsubj,0.0012381721180633532,8.375870210428566E-4,5,2,2,0,0
code-switch,CMU,6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,2.84E-18,5.210801,NN,2,dobj,1.8208413500931663E-4,6.069471166977221E-5,8,2,6,0,0
code-switch,CMU,9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,2,house,房子,5.70E-17,4.488641,NN,3,compound:nn,0.0012381721180633532,8.375870210428566E-4,5,2,1,0,0
code-switch,CMU,10,后院 ： deck 。,后院 ： 阳台 。,3,deck,阳台,4.39E-18,5.750101,NN,0,root,3.641682700186333E-5,4.855576933581777E-5,4,2,0,1,1
code-switch,CMU,13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,3.90E-17,5.82538,NN,4,compound:nn,3.0347355834886106E-5,6.069471166977221E-6,6,2,1,0,0
code-switch,CMU,14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,8.67E-17,5.42058,VA,1,conj,2.4277884667908884E-5,1.8208413500931665E-5,8,2,2,0,0
code-switch,CMU,15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,1.59E-17,5.679813,VV,5,ccomp,4.855576933581777E-4,3.641682700186333E-5,5,2,1,0,0
code-switch,CMU,16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,10,full,设施,2.41E-16,4.276497,NN,13,dep,3.9451562585351936E-4,9.711153867163554E-5,4,2,3,0,0
