SentenceID,CodeSwitchedSentence,TranslatedSentence,UntranslatedWord,IndicesOfCodeSwitchedWord,IndicesOfCodeSwitchedWordInTranslation,IndicesOfPunctuation,IndicesOfPunctuationInTranslation
CMU_1,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 queen size 的 床 和 一 个 气垫 床 ；,房间 ： 房间 为 三 层 一 整 层 ， 由 阁楼 装修 而 成 ， 空间 很大 ， 家具 齐全 ， 有 一 张 大号 的 床 和 一 个 气垫床 ；,[],[25_26],[25_31_32],[1_9_15_18_21_34],[1_9_15_18_21_32]
CMU_2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,[],[0_1_2],[],[2_5_10_11_16_27_33],[2_5_10_11_16_27_33]
CMU_4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,[],[0],[0],[4_9],[4_9]
CMU_5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,[],[0],[0],[5_7],[5_7]
CMU_6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,[],[7_8],[7_8],[8],[8]
CMU_7,还有 green pepper ！,还有 青椒 ！,[],[1_2_3],[1_2],[3],[2]
CMU_9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,[],[1],[1],[4],[4]
CMU_10,后院 ： deck 。,后院 ： 阳台 。,[],[2_3],[2_3],[1_3],[1_3]
CMU_11,可以 从 地下室 直接 走 出去 的 ， 所以 叫 walk out basement .,可以 从 地下室 直接 走 出去 的 ， 所以 叫 半地下室 。,[],[10_11_12_13],[10_11],[7_13],[7_11]
CMU_13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,[],[2_3],[2_3_4],[6],[7]
CMU_14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,[],[2_3],[2_3],[3_7],[3_7]
CMU_15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,[],[5_6],[5_6_7],[3_6_9_11_12_13_19],[3_7_10_12_13_14_20]
CMU_16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,[],[9],[9_10_11],[11],[13]
CMU_17,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,[],[5],[5],[3_11],[3_11]
CMU_18,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,[],[9_10],[9_10_11],[4_10],[4_11]
CMU_19,一 楼 有 half bath 。,一 楼 有 半 浴室 。,[],[3_4_5],[3_4_5],[5],[5]
CMU_22,精装 修 家具 全 free 无线 上网 !,精装 修 家具 全 免费 无线 上网 !,[],[4],[4],[7],[7]
CMU_25,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[8_9],[8_9],[3_9_14],[3_9_14]
CMU_26,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,[],[3],[3_4],[9],[8]
CMU_29,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,门口 有 公交车 到 中国 超市 ， 餐馆 和 市中心 。,[],[2_9_10],[2_9_10],[6_10],[6_10]
CMU_30,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,[],[6_7_8_9_10],[6_7_8],[1_8_13],[1_7_11]
CMU_31,长 租 all gone ！,长 租 全部 租出 ！,[],[2_3_4],[2_3_4],[4],[4]
CMU_33,暑期 短 租 还 available 哦 。,暑期 短 租 还 有 空的 哦 。,[],[4],[4_5],[6],[7]
CMU_35,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,[],[1_8],[1_8_9],[7_13_17_20],[7_14_18_21]
CMU_36,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,[],[1],[1_2],[4],[5]
CMU_45,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,[],[4],[4],[7_15],[7_15]
CMU_46,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 !,[],[3],[3],[9],[9]
CMU_49,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 : 二 楼 和 地下室 各 有 一 个 卫生间,[],[0_1],[0_1],[1],[1]
CMU_53,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,[],[1],[1],[5],[5]
CMU_54,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， full size 床 都 可以 用 。,暑假 短 租 的 同学 看 过来 ～ 家具 全 齐 入住 即 可 用 ， 单人床 都 可以 用 。,[],[16_17],[16],[7_15_22],[7_15_20]
CMU_56,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,[],[3_4_5_6],[3_4_5_6],[2_6],[2_6]
CMU_57,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,[],[2_3_4_5_6_7_8_9_10],[2_3_4_5_6_7_8_9_10_11_12],[1_4_7_10],[1_4_8_12]
CMU_61,# 家具 齐全 : 房间 有 double size 床 ， walk in closet ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,# 家具 齐全 : 房间 有 双人床 ， 步入 式 衣柜 ， 挂 衣架 ， 书桌 ， 台灯 ， 转椅 ， （ 还 可 低价 出 显示器 。,[],[0_6_7_10_11_12_13],[0_6_7_8_9_10_11],[0_3_9_13_16_18_20_22_23_29],[0_3_7_11_14_16_18_20_21_27]
CMU_62,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,[],[0_5_6_8_9_10_25_26],[0_5_6_8_9_24_25],[10_16_26],[9_15_25]
CMU_63,【 其他 】 包 utility fee ， 价格 和 时间 可 议 。,【 其他 】 包 物业费 ， 价格 和 时间 可 议 。,[],[0_4_5_6],[0_4_5],[0_2_6_12],[0_2_5_11]
CMU_64,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,[],[3],[3],[9_16],[9_16]
CMU_67,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,[],[6_7],[6_7],[7],[7]
CMU_68,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好好 相处 ， 绝对 不 会 打扰 你 。,[],[2],[2],[5_11],[4_10]
CMU_69,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,[],[0_9_10],[0_9_10],[0_2_6_10_15],[0_2_6_10_15]
CMU_76,an open-air shopping 经历 。,一 次 露天 购物 经历 。,[],[0_1_2],[0_1_2_3],[4],[5]
CMU_79,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,[],[0_9_10],[0_9_10],[0_4_10_15],[0_4_10_15]
CMU_83,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,[],[1],[1],[7_11],[7_11]
CMU_84,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,[],[2_3_4],[2_3_4_5],[4],[5]
CMU_85,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,[],[4_5_6],[4_5_6],[6_9_11_13_17_19_24],[6_9_11_13_17_19_24]
CMU_87,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,[],[7_8_10_11_12],[7_8_10_11_12],[12],[2_12]
CMU_89,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,[],[4],[3_4],[7_10],[7_10]
CMU_92,budget 灵活 。,资金 灵活 。,[],[0],[0],[2],[2]
CMU_93,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,[],[4],[3_4_5],[2_8],[2_9]
CMU_95,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,[],[6],[6],[3_8],[3_8]
CMU_96,出门 走 一 分钟 不到 就 有 81-83 bus 。,出门 走 一 分钟 不到 就 有 81 - 83 路 公交 。,[],[8_9],[7_8_9_10_11_12],[9],[8_12]
CMU_97,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,[],[0_1_4_5],[0_1_4_5],[5_10_20],[5_10_20]
CMU_98,房东 人 很 nice 。,房东人 很 好 。,[],[3_4],[0_2_3],[4],[3]
CMU_99,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,[],[6],[6_7],[4_10],[4_11]
CMU_100,半夜 两 点 走 block 都 不 怕 。,半夜 两 点 走在 街区 都 不怕 。,[],[4],[3_4_6_7],[8],[7]
CMU_102,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人床 ， 拎包 入住 。,[],[5_6],[5_6_7],[4_8_11],[4_7_10]
CMU_103,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,[],[1_3],[1_3_14_15],[6_15],[6_15]
CMU_107,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,[],[7_8_9],[7_8_9],[9_13_20],[9_13_20]
CMU_108,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,[],[5_6],[5_6],[6_12],[6_12]
CMU_110,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房及 厨房 。,[],[6_7_8_9_10_11_12_13],[6_7_8_9_10_11],[1_8_11_16],[1_7_9_13]
CMU_117,还 有 其他 utility 吗 ？,还有 其他 设施 或 服务 吗 ？,[],[3],[0_2_3_4],[5],[6]
CMU_119,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,[],[3],[3_4],[11],[12]
CMU_121,也 有 parking 。,也 有 停车 坪 。,[],[2_3],[2_3_4],[3],[4]
CMU_123,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 washer dryer ， 可 包 utility ， queen 床 ， 厨具 和 床上 用品 都 可以 提供 。,房子 干净 ， 家具 全 ， 网络 全 ， 有 免费 试用 的 洗衣机 和 烘干机 ， 可 包 物业费 ， 标准 双人床 ， 厨具 和 床上 用品 都 可以 提供 。,[],[13_14_15_18_19_20],[13_15_16_19_20_21_22_23],[2_5_8_15_19_22_30],[2_5_8_16_20_23_31]
CMU_124,house 出租 2018 .,房屋 出租 2018 。,[],[0],[0_2_3],[3],[3]
CMU_125,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,[],[2],[2],[1_5_11],[1_10]
CMU_127,周边 有 一 个 pizza 店 ， 一 个 墨西哥 菜 。,周边 有 一 个 披萨店 ， 一 个 墨西哥 菜 。,[],[4],[4_5],[6_11],[5_10]
CMU_134,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,[],[2],[2],[9],[9]
CMU_136,非常 宽敞 ， 可以 放 两 张 full-size 床 ， 还有 walk-in closet ！,非常 宽敞 ， 可以 放 两 张 单人床 ， 还有 步入 式 衣柜 ！,[],[12_13],[7_8_10_11_12_13],[2_9_13],[2_8_13]
CMU_140,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,[],[14_15],[14_15],[2_15],[2_15]
