sent_type,university,sent_id,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,25_50_25_percent_location,10_80_10_percent_location,30_40_30_percent_location,first_middle_last_location,translation_sentence_length
code-switch,CMU,2,rich neighborhood ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,富人 区 ， 非常 安全 （ 这里 属于 富人 区 ） ， 旁边 就 是 公园 ， 附近 还有 配套 的 各 种 球场 和 社区 设施 ， 环境 很 好 很 安静 。,1,rich,富人,46.615352726427304,6.100998,NN,2,compound:nn,6.100998 1.320391 0.7630151 4.4722 3.20577 2.76481 3.874677 3.395841 5.984178 1.320391 2.043565 0.7296352 4.6413 3.554084 2.235204 4.472754 1.254587 2.761207 1.42266 4.00532 0.3216881 3.688545 4.236028 5.883419 2.087959 3.743304 4.819367 0.6720446 4.722296 3.517969 3.595524 5.194436 3.258603 0.8566467,3.144718138235294,11.319097967990071,10.402807236115917,4,2,1,0,,,1,1,1,1,34
code-switch,CMU,4,lease 从 八月 开始 ， 具体 日期 可以 商量 。,租约 从 八月 开始 ， 具体 日期 可以 商量 。,1,lease,租约,41.57872850128562,6.527233,NN,9,nmod:topic,6.527233 3.646975 4.193077 1.173965 0.5694761 4.162648 1.981575 3.114755 5.065556 1.119376,3.1554636099999995,7.34880605443795,10.066334999494703,5,2,8,0,,,1,1,1,1,10
code-switch,CMU,5,house 一共 有 两 层 + 地下室 。,房子 一共 有 两 层 + 地下室 。,1,house,房子,37.40390285781066,5.512905,NN,3,nsubj,5.512905 5.228868 0.5955775 1.38895 2.136289 4.214566 6.114262 0.9592402,3.2688322124999996,6.694125154705801,7.084991463392813,5,2,2,0,,,1,2,1,1,8
code-switch,CMU,6,一共 有 两 个 可以 洗澡 的 bathroom 。,一共 有 两 个 可以 洗澡 的 浴室 。,8,bathroom,浴室,40.402814183789445,5.210801,NN,2,dobj,4.509301 0.2903937 1.38895 0.4321387 3.465795 6.824737 0.8959952 5.210801 0.762357,2.6422742888888893,8.61104776688786,9.709660055555972,8,2,6,0,0,0.8959952,3,2,3,2,9
code-switch,CMU,9,整个 house 家具 齐全 。,整个 房子 家具 齐全 。,2,house,房子,37.40390285781066,4.488641,NN,3,compound:nn,3.732348 4.488641 5.760885 6.166569 0.8237057,4.19442974,6.694125154705801,7.084991463392813,5,2,1,0,0,3.732348,2,2,2,2,5
code-switch,CMU,10,后院 ： deck 。,后院 ： 阳台 。,3,deck,阳台,39.96702333653981,5.750101,NN,0,root,6.258925 2.914741 5.750101 0.8616973,3.9463660749999994,10.220485679321962,9.93280360687018,4,2,0,1,1,6.258925,3,2,3,2,4
code-switch,CMU,13,空调 有 window ac 和 暖气 。,空调 有 窗口 式 冷气机 和 暖气 。,3,window,窗口,37.783796693379294,5.82538,NN,4,compound:nn,5.445959 3.517004 5.82538 2.047275 0.6465095 1.845845 4.911385 1.231957,3.1839143125000002,10.402807236115917,12.012245148550017,6,2,1,0,0,3.517004,2,2,2,2,8
code-switch,CMU,14,入住 时间 flexible ， 可 长期 入住 。,入住 时间 灵活 ， 可 长期 入住 。,3,flexible,灵活,36.983536037687394,5.42058,VA,1,conj,5.976814 3.558488 5.42058 0.7122998 1.506279 3.80937 4.813555 0.9292497,3.3408294375,10.625950787430126,10.913632859881908,8,2,2,0,0,3.558488,2,2,2,2,8
code-switch,CMU,15,感兴趣 的 同学 ， 欢迎 email （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,感兴趣 的 同学 ， 欢迎 发送 邮件 （ 请 注明 “ 租房 ” ） ， 请 简单 介绍 一下 自己 。,6,email,发送,38.68219437043111,5.679813,VV,5,ccomp,7.042348 0.4746102 4.199065 0.765377 4.921011 5.679813 1.964966 2.43689 4.056521 5.244545 1.039642 6.265025 2.432533 1.712326 0.6021351 4.027341 4.666379 2.487469 1.699935 1.931871 2.022749,3.1272643476190476,7.630218513876136,10.220485679321962,5,2,1,0,0,4.921011,2,2,1,2,21
code-switch,CMU,16,二 楼 是 三 间 卧室 和 一 个 full 卫生间 。,二 楼 是 三 间 卧室 和 一 个 设施 完全 的 卫生间 。,10,full,设施,35.96312358280597,4.276497,NN,13,dep,3.222314 1.591621 1.601642 3.04637 2.053292 3.379827 1.532987 2.57814 5.729619 4.276497 3.368013 1.451586 5.637688 0.7613617,2.8736398357142856,7.83785787865438,9.239656426310235,4,2,3,0,0,5.729619,2,2,3,2,14
