SentenceID,CodeSwitchedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,TranslatedSentence,AddedWordList
0,请 问 现在 能 confirm 我 了 吗 ？,[4],[8],请 问 现在 能 确认 我 了 吗 ？,
1,若 收到 此 类 邮件 ， 各位 同学 可 先 通过 google 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,[11],[5_23_37],若 收到 此 类 邮件 ， 各位 同学 可 先 通过谷歌来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,
2,本人 现在 在 lancaster 附近,[3],,本人现在 在兰卡斯特附近,
3,最大 的 房间 $450/m ， 里面 有 一 张 king size 的 床 ， 最 小 的 $350 / m ， 里面 床 是 twin size 。,[9_10_19_20_24_25_26],[4_13_18_20_26],最大 的 房间 $450/yue ， 里面 有 一 张 二米一宽 的 床 ， 最 小 的 $350 / 月， 里面 床 是 一米五宽的床,
4,旁边 是 ymca 可以 健身 游泳 。,[2],[6],旁边 是 健身房 可以 健身 游泳 。,
5,车 牌号 或 vin 号 。,[3],[5],车 牌号 或 车辆识别码 。,
6,车 牌号 或 vin 号 。,[3],[5],车 牌号 或 车辆识别码 。,
7,小区 ： lion's gate apartment 入住 时间 ： 2018 .,[3_4],[1_7_9],小区 ： 狮子门小区 入住 时间 ： 2018.,[2018]
8,房东 是 杨 太太 ， 人 很 nice ， 有 什么 问题 请 随时 联系 她 ： pn-0 可 留言,[7_8],[4_8_16_17],房东 是 杨 太太 ， 人 很友善， 有 什么 问题 请 随时 联系 她 ： pn-0 可 留言,
9,$500 / 月 ， 水电 暖 网 cable 等等 都 包括 在 里面 ， 非常 省心 。,[0_1_7],[1_3_13_16],$500 / 月 ， 水电 暖 网xian 等等 都 包括 在 里面 ， 非常 省心 。,
10,$275 / 年 的 activity fee3 .,[0_1_4_5_6],[1_6],$275 / 年 的活动fee3,[fee3]
11,坐标 ： 东方 超市 旁 ， giant 对面 的 college court 小区 。,[6_9_10],[1_5_12],坐标 ： 东方 超市 旁 ， 伟大超市对面 的大学场小区 。,
12,小区 环境 优美 ， clubhouse 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,[4],[3_7_9_17],小区 环境 优美 ， 活动室 有 健身房 、 泳池 、 并且 提供 免费 的 咖啡 等 饮品 。,
13,有 人 5/8 去 jfk 吗 ？,[4],[6],有 人 5/8 去 肯尼迪机场吗 ？,
