sentence ID,original,translated,untranslated word,cs indices in original,cs indices in translated,punct indices in original,punct indices in translated
0,请 问 现在 能 confirm 我 了 吗 ？,请 问 现在 能 确认 我 了 吗 ？,[],[4],[4],[8],[8]
1,若 收到 此 类 邮件 ， 各位 同学 可 先 通过 google 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,若 收到 此 类 邮件 ， 各位 同学 可 先 通过 谷歌 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站 ， 并 输入 你 收到 的 邮箱 地址 来 查看 是否 为 诈骗 邮件 。,[],[11],[11],[5_23_37],[5_23_37]
2,本人 现在 在 lancaster 附近,本人 现在 在 兰卡斯特 附近,[],[3],[3],,
3,最 大 的 房间 $450/m ， 里面 有 一 张 king size 的 床 ， 最 小 的 $350 / m ， 里面 床 是 twin size 。,最 大 的 房间 $450/yue ， 里面 有 一 张 二 米 一 宽 的 床 ， 最 小 的 $350 / 月 ， 里面 床 是 一 米 五 宽 的 床,[],[10_11_20_21_25_26_27],[10_11_13_22_23_28_29_30],[5_14_19_21_27],[4_5_16_20_21_23]
4,旁边 是 ymca 可以 健身 游泳 。,旁边 是 健身房 可以 健身 游泳 。,[],[2],[2],[6],[6]
5,车 牌号 或 vin 号 。,车 牌号 或 车辆 识别码 。,[],[3],[3_4_5],[5],[5]
7,小区 ： lion's gate apartment 入住 时间 ： 2018 .,小区 ： 狮子 门 小区 入住 时间 ： 2018 .,[],[3_4],[2_3_8_9],[1_7_9],[1_7_9]
8,房东 是 杨 太太 ， 人 很 nice ， 有 什么 问题 请 随时 联系 她 ： pn-0 可 留言,房东 是 杨 太太 ， 人 很 友善 ， 有 什么 问题 请 随时 联系 她 ： pn-0 可 留言,[],[7_8],[7_8],[4_8_16_17],[4_8_16_17]
9,$500 / 月 ， 水电 暖 网 cable 等等 都 包括 在 里面 ， 非常 省心 。,$500 / 月 ， 水电 暖 网 xian 等等 都 包括 在 里面 ， 非常 省心 。,[xian],[0_1_7],[0_1_7],[1_3_13_16],[0_1_3_13_16]
10,$ 275 / 年 的 activity fee 3 .,$ 275 / 年 的 活动 fee3,[],[0_1_2_5_6_7_8],[0_1_2_5_6],[0_2_8],[0_2]
