SentenceID,CodeSwitchedSentence,NumberOfCodeSwitching,CodeSwitch1,CodeSwitch2,CodeSwitch3,CodeSwitch4
0,后来 发现 penn state 的 学生 可以 直接 点击,1,penn state,,,
1,然后 我 用 penn state access account 登录 时 总是 提示 已 注册 一 个 账户,1,penn state access account,,,
2,以便 于 我 顺利 地 通过 penn state 的 账户 登录,1,penn state,,,
3,我 用 学校 的 账号 登录 web access,1,web access,,,
4,说 我 以前 有 个 帐号 batman,1,batman,,,
5,但是 fps id 在 penn state directory 没有 记录,2,fps id,penn state directory,,
6,请 问 现在 能 confirm 我 了 吗,1,confirm,,,
7,我 也 不 知道 这个 生成 的 fps id,1,fps id,,,
8,而是 直接 申请 fps 的,1,fps,,,
9,各位 同学 可 先 通过 google 来 搜索 专门 报告 垃圾 邮件 和 诈骗 邮件 的 网站,1,google,,,
10,同时 请 在 tag 后 加上 小区 名字,1,tag,,,
11,the pointe 四 房 四 卫,1,the pointe,,,
12,apartment 四 人间,1,apartment,,,
13,pointe 还有 免费 健身房,1,pointe,,,
14,com 麻烦 备注 租房,1,com,,,
15,门口 就 是 ymca 健身房,1,ymca,,,
16,生活 安静 不 party,1,party,,,
17,本人 现在 在 lancaster 附近,1,lancaster,,,
18,里面 有 一 张 king size 的 床,1,king size,,,
19,里面 床 是 twin size,1,twin size,,,
20,drive way 和 车库 可以 停车,1,drive way,,,
21,旁边 是 ymca 可以 健身 游泳,1,ymca,,,
22,车 牌号 和 vin 均 可 查询,1,vin,,,
23,车 牌号 或 vin 号,1,vin,,,
24,车 牌号 和 vin 均 可 查询,1,vin,,,
25,车 牌号 或 vin 号,1,vin,,,
26,附近 有 ymca 健身房 和 小 公园,1,ymca,,,
27,最好 的 就是 不用 跟 别人 share 了,1,share,,,
28,s gate apartment 入住 时间,1,s gate apartment,,,
29,一 个 是 phd 第二 年,1,phd,,,
30,本人 phd 第二 年,1,phd,,,
31,房间 为 full furnished,1,full furnished,,,
32,两 室 一 厅 或 studio,1,studio,,,
33,com 微 信号,1,com,,,
34,宾夕法尼亚 大学 berger auditorium room,1,berger auditorium room,,,
35,paul leonard 图书馆 二 楼 the faculty commons,2,paul leonard,the faculty commons,,
36,宾夕法尼亚 大学 berger auditorium room,1,berger auditorium room,,,
37,paul leonard 图书馆 二 楼 the faculty commons,2,paul leonard,the faculty commons,,
38,led 化妆 镜 带 电池,1,led,,,
39,nine west 凉鞋,1,nine west,,,
40,本人 和 女友 均 录取 了 penn state 的 master,2,penn state,master,,
41,chocolate chips 两 种,1,chocolate chips,,,
42,人 很 nice,1,nice,,,
43,与 office 直接 签,1,office,,,
44,离 campus 和 downtown 非常 近,2,campus,downtown,,
45,物业 提供 bus pass,1,bus pass,,,
46,以及 my thai,1,my thai,,,
47,水电 暖 网 cable 等等 都 包括 在 里面,1,cable,,,
48,每 一 层 有 一 个 laundry room,1,laundry room,,,
49,如果 您 有心 想 签 这个 lease,1,lease,,,
50,utility 费用 全 包,1,utility,,,
51,同时 office 那里 还 有 一 个 健身房,1,office,,,
52,人 非常 nice,1,nice,,,
53,人 非常 nice,1,nice,,,
54,也 基本 不 开 party,1,party,,,
55,大 到 queen size 大 床,1,queen size,,,
56,study lounge 卡 租金,1,study lounge,,,
57,买 就 送 各 种 bake,1,bake,,,
58,ware 和 文具,1,ware,,,
59,giant 对面 的 college court 小区,2,giant,college court,,
60,第二 任 owner,1,owner,,,
61,clubhouse 有 健身房,1,clubhouse,,,
62,texas road house 正 对面,1,texas road house,,,
63,我 是 penn state phd 最后 一 年,1,penn state phd,,,
64,非常 熟悉 村里 情况 所以 target 了 两 个 性价比 和 位置 非常 好 的 小区,1,target,,,
65,可 谓 全 town 底价,1,town,,,
66,开车 去 jfk,1,jfk,,,
67,park crest terrace 两 室 一 厅 房子 整 租 或者 两 间 卧室 单独 出租,1,park crest terrace,,,
68,或 一 室 一 厅 或 studio,1,studio,,,
69,没 见 过 大声 开 party,1,party,,,
70,适合 work at home,1,work at home,,,
71,herman miller 人体 工程 椅子,1,herman miller,,,
72,物业 非常 专业 并且 很 nice 免费 维修 任何 损坏 的 东西,1,nice,,,
73,如果 确定 要 住 需要 提前 缴纳 security deposit,1,security deposit,,,
74,包括 oil change 和 tire rotation,2,oil change,tire rotation,,
75,其他 and 附加 条件,1,and,,,
76,一 个 是 line friend 的 红色 图案,1,line friend,,,
77,租 一 间 或 两 间 都 可以 heights 是 state college 里面 房子 很 新 环境 很 好 的 小区,2,heights,state college,,
78,现有 park forest villas 一 次 卧 出租,1,park forest villas,,,
79,小区 近 giant,1,giant,,,
80,只 需要 跟 外面 的 完整 卫生间 share 浴室,1,share,,,
81,com 加 好友 的 时候 麻烦 备注 一下,1,com,,,
82,copper beach oak hill 二 楼 一 间 房间 出租,1,copper beach oak hill,,,
83,clean title 无 故障,1,clean title,,,
84,中 配 with premium package,1,with premium package,,,
85,人 很 nice,1,nice,,,
86,门口 就 是 bus stop,1,bus stop,,,
87,summer 的 时候 有 n,2,summer,n,,
88,不过 utility 夏天 还 蛮 便宜 有意 者 私,1,utility,,,
89,房子 是 上下 两 层 loft 形式,1,loft,,,
90,即 将 转 phd,1,phd,,,
91,cafe wow 等等,1,cafe wow,,,
92,房子 是 studio,1,studio,,,
93,park crest 租金 便宜,1,park crest,,,
94,和 公寓 正式 签 lease,1,lease,,,
95,路线 有 v ve 有 车子 的 朋友 可以 和 office 申请 车位,2,v ve,office,,
96,gap 等 商铺,1,gap,,,
97,是 我 个人 认为 除了 dt state college 最 繁华 的 地区,1,dt state college,,,
98,giant 对面 的 college court 小区,2,giant,college court,,
99,位 于 park crest 小区,1,park crest,,,
100,lisa 联系 电话,1,lisa,,,
101,soul 或者 电话,1,soul,,,
102,tremont 四 人间 出租,1,tremont,,,
103,柜子 已 组装 like new,1,like new,,,
104,可 议价 park crest,1,park crest,,,
105,不 开 party,1,party,,,
106,附近 有 ymca 健身房 和 小 公园,1,ymca,,,
107,最好 的 就是 不用 跟 别人 share 了,1,share,,,
108,小区 在 state college 北边,1,state college,,,
109,target 很 近,1,target,,,
110,附近 有 giant,1,giant,,,
111,soul 或者 电话,1,soul,,,
112,最好 liberal arts 专业,1,liberal arts,,,
113,legend 最 好在 村 南 半 部分,1,legend,,,
114,你 需要 的 所有 超市 都 在 bus 线上,1,bus,,,
115,两 个 full,1,full,,,
116,lease 只 能 一年 一 年 签,1,lease,,,
117,人 很 nice,1,nice,,,
118,the view apartment 景色 十分 漂亮,1,the view apartment,,,
119,fall semester 已 出租,1,fall semester,,,
120,新 住户 要 付 以下 一 次 性 费用 给 leasing office,1,leasing office,,,
121,因为 之前 没有 和 leasing office 打 报告,1,leasing office,,,
122,本人 出租 park crest terrace 两 室 一 厅 两 卫 中 的 一 间,1,park crest terrace,,,
123,本人 出租 park crest terrace 两 室 一 厅 的 一 间,1,park crest terrace,,,
124,本人 出租 park crest terrace 两 室 一 厅 的 一 间,1,park crest terrace,,,
125,本人 出租 park crest terrace 两 室 一 厅 的 一 间,1,park crest terrace,,,
126,coach 毛毛 斜 挎包,1,coach,,,
127,up up 持续 有效,1,up up,,,
128,mattress 很 新,1,mattress,,,
129,village square 入住 时间,1,village square,,,
130,不 开 party,1,party,,,
131,小区 提供 visitor parking,1,visitor parking,,,
132,还有 一 周 时间 通知 leasing office,1,leasing office,,,
133,这 处 condo 应该 是 最 便宜 的 住处 了,1,condo,,,
134,还有 一 天 通知 leasing office,1,leasing office,,,
135,这个 town 里 最 低 的 价格 了,1,town,,,
136,本人 住 在 heights,1,heights,,,
137,university park 校区,1,university park,,,
138,希望 找 一 间 studio,1,studio,,,
139,距离 学校 超 近 的 park crest terrace apartments 地址,1,park crest terrace apartments,,,
140,park forest 或 state college 附近 均可,2,park forest,state college,,
141,park forest 或 college court 附近 均可,2,park forest,college court,,
142,安静 不 搞 party,1,party,,,
143,你 需要 的 所有 超市 都 在 bus 线上,1,bus,,,
144,人 超级 nice 有 一 个 会 开车,1,nice,,,
145,求 一 个 当天 早上 从 村里 去 的 ride,1,ride,,,
146,giant 等 超市 走路 十 分钟 内 十分 方便,1,giant,,,
147,附带 免费 bus pass,1,bus pass,,,
148,drive way 和 车库 可以 停车,1,drive way,,,
149,旁边 是 ymca 可以 健身 游泳,1,ymca,,,
150,本人 住 在 heights,1,heights,,,
151,本人 住 在 heights,1,heights,,,
152,所以 请问 lease 是 八月 一日 开始 还是 六月 一日,1,lease,,,
153,所以 请问 lease 是 八月 一日 开始 还是 六月 一日,1,lease,,,
154,本人 女 phd 一 名,1,phd,,,
155,giant 对面 的 college court 小区,2,giant,college court,,
156,独 栋 house,1,house,,,
157,玩耍 可 提供 ride,1,ride,,,
158,一 套 meng 的,1,meng,,,
159,master 要 毕业 的 同学 看 过来,1,master,,,
160,还 剩 meng 的,1,meng,,,
161,meng 的 还在,1,meng,,,
162,meng 的 还在,1,meng,,,
163,imperial towers 小区 在 state college 口碑 非常 好,2,imperial towers,state college,,
164,office 非常 负责任,1,office,,,
165,com 我 邮箱,1,com,,,
166,fuji 中国 餐馆 等,1,fuji,,,
167,与 cruise 人员 协商 后,1,cruise,,,
168,而且 还 有 一些 签证 等 paperwork 需要 提前 处理,1,paperwork,,,
169,平时 保养 检 车 都 在 midas,1,midas,,,
170,纹路 清晰 胎 压 监测 abs,1,abs,,,
171,eps 远程 启动,1,eps,,,
172,utilities 和 internet,2,utilities,internet,,
173,参考 网站 http,1,http,,,
174,参考 网站 http,1,http,,,
175,两 人 share 一 个 卫生间,1,share,,,
176,两 层 的 town house,1,town house,,,
177,两 个 living room,1,living room,,,
178,my thai 等 餐馆,1,my thai,,,
179,registration renew 一 年,1,registration renew,,,
180,两 张 queen size 床,1,queen size,,,
181,两 张 queen size 床,1,queen size,,,
182,能 不 能 续签 lease,1,lease,,,
183,独 栋 house,1,house,,,
184,小区 免费 clubhouse 健身房,1,clubhouse,,,
185,park crest 是 村里 有名 的 高 性价比 的 小区,1,park crest,,,
186,出门 就 是 giant 以及 东方 超市,1,giant,,,
187,地点 park crest,1,park crest,,,
188,地点 park crest,1,park crest,,,
189,这个 应该 是 reward certificate,1,reward certificate,,,
190,还有 muffler 和 电池 也 刚 换,1,muffler,,,
191,giant 等 超市 走路 十 分钟 内 十分 方便,1,giant,,,
192,你 拿到 车 大概 可以 很 长 时间 不用 关心 车 的 状况 了 人 在 state college,1,state college,,,
193,去 专业 机构 quote 以后 重新 定价,1,quote,,,
194,小区 离 giant,1,giant,,,
195,近 giant 和 东方 超市,1,giant,,,
196,独 栋 house,1,house,,,
197,可 提供 ride,1,ride,,,
198,chocolate chips 两 种,1,chocolate chips,,,
199,所以 希望 接 我 lease 的 是 男生 厨房 的 用具 是 共用 的,1,lease,,,
200,还 有 一 个 reading room,1,reading room,,,
201,平常 如果 需要 买 grocery,1,grocery,,,
202,edu 请 注明 是 来 租房 的 啊,1,edu,,,
203,不 开 party,1,party,,,
